Model,MAE,MSE,RMSE,R2
Linear Regression,47.25713139802956,3701.128944780586,60.83690446415388,0.23415215500417774
Decision Tree,69.11006969478491,7808.067051189618,88.36326754477574,-0.6156668448877707
Random Forest,51.365066089882234,4457.660069646719,66.76571028339862,0.07760864076967389
Gradient Boosting,45.71568295301593,3440.7098395373037,58.65756421415148,0.2880387970320284
Extra Trees,43.640257149723624,3337.3160421773614,57.769507892809344,0.30943332774831533
